comparison,SYMBOL,ENTREZID,ENSEMBL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B,direction,significant
NEIL2KO_3h_ipsilateral_vs_contralateral,Ier2,15936,ENSMUSG00000053560,immediate early response 2,3.449824019394285,9.752058016555676,35.98451798136012,1.616573462766305e-9,2.936151104935192e-5,10.99825694252003,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Zfp36,22695,ENSMUSG00000044786,zinc finger protein 36,4.590673798415837,8.724906486665924,33.650577340718094,2.6362748416926527e-9,2.936151104935192e-5,10.753839818376967,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Klf4,16600,ENSMUSG00000003032,Kruppel-like transcription factor 4 (gut),4.132607857219457,8.734860283206551,31.746985812990133,4.029941568639582e-9,2.9922316147148895e-5,10.52689498957415,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Nr4a1,15370,ENSMUSG00000023034,"nuclear receptor subfamily 4, group A, member 1",3.1229720897334,11.070539890405364,29.81050290772149,6.372954622581236e-9,3.02585795129399e-5,10.266203302880445,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Thbs1,21825,ENSMUSG00000040152,thrombospondin 1,4.1279248649900335,10.091013769776044,29.55078409105394,6.792049273387183e-9,3.02585795129399e-5,10.22869306339474,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Amotl2,56332,ENSMUSG00000032531,angiomotin-like 2,2.3536451952553943,9.844700462360308,26.88956431666019,1.3491654196551279e-8,4.9813391749693935e-5,9.80472540534566,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Socs3,12702,ENSMUSG00000053113,suppressor of cytokine signaling 3,3.799991945134683,8.612867761750561,26.344962297391486,1.565404005602054e-8,4.9813391749693935e-5,9.708166470825791,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Akap12,83397,ENSMUSG00000038587,A kinase anchor protein 12,2.0775554001750116,11.080812235487928,25.468973974553368,2.0011140342191495e-8,5.5718518890289444e-5,9.545028140672692,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Adamts1,11504,ENSMUSG00000022893,ADAM metallopeptidase with thrombospondin type 1 motif 1,3.2736839438022844,10.188935513726323,25.03766812768663,2.2652103036047866e-8,5.6063955014218465e-5,9.46096566513637,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Ccl2,20296,ENSMUSG00000035385,C-C motif chemokine ligand 2,6.66660276414169,4.97559477079048,23.781667634809807,3.290173564698724e-8,7.328861615366408e-5,9.201020037428176,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Gadd45g,23882,ENSMUSG00000021453,growth arrest and DNA-damage-inducible 45 gamma,2.0469797011246538,10.270612634893428,22.69172386348273,4.621964890117371e-8,9.359478902487677e-5,8.955584031938262,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Ccl4,20303,ENSMUSG00000018930,C-C motif chemokine ligand 4,6.969699801808641,5.337889888701135,19.430087689623363,1.4181829676928704e-7,2.632502133779891e-4,8.089796586406553,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Hmox1,15368,ENSMUSG00000005413,heme oxygenase 1,2.722589668963237,8.678082446291464,18.4435441892154,2.0639303776297545e-7,3.5364653201309834e-4,7.781933561599478,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Bsn,12217,ENSMUSG00000032589,bassoon,-1.3843647192365367,12.486683155380499,-18.110473779981298,2.3529602865857832e-7,3.706962241683386e-4,7.672399638101736,Down,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Tnfaip6,21930,ENSMUSG00000053475,tumor necrosis factor alpha induced protein 6,3.6140201821625304,6.561074643970085,17.962121217412612,2.496270869820462e-7,3.706962241683386e-4,7.622656388406729,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Ccn1,16007,ENSMUSG00000028195,cellular communication network factor 1,5.344345893813573,10.812139847969334,24.830556397265678,3.382510130508073e-7,4.4516681168555583e-4,7.024781771209333,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Odc1,18263,ENSMUSG00000011179,"ornithine decarboxylase, structural 1",1.4407098319863234,11.680430173943654,17.076104785561864,3.5893502447929175e-7,4.4516681168555583e-4,7.312701501300839,Up,TRUE
NEIL2KO_3h_ipsilateral_vs_contralateral,Junb,16477,ENSMUSG00000052837,jun B proto-oncogene,1.931057829771353,10.645339003270037,16.838482784345405,3.96870405363659e-7,4.4516681168555583e-4,7.225651619379296,Up,TRUE
