Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Database
GO_Biological_Process_2023,Translation (GO:0006412),127/234,7.644460359172132e-24,3.812292381119143e-20,0,0,3.86706503400484,205.8363734528689,RPL30;RPL32;RPL31;RPL34;RPL8;RPL10A;RPS15;EEF1B2;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;CHCHD1;RPS13;RARS2;RPS9;RPL21;RPS8;RPL22;RPS6;MRPS18A;MRPS18C;EEF1A2;RPL24;RPL27;RPL26;AURKAIP1;RPL29;RPL28;UBA52;MRPL18;EIF5A2;MRPL14;MRPL12;MRPL13;GSPT1;MRPL11;MRPL20;EIF4EBP2;RPL41;MRPL27;MRPL28;MRPL23;EEF2;MRPL21;MRPL22;MRPL30;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;AGO2;RPS20;RPS21;RPS24;RPS23;HBS1L;MRPS15;MRPS16;FASTKD2;MRPS14;MRPS11;RPLP1;MRPS12;MRPL38;MRPS10;MRPL34;MRPL33;MRPL41;RPL7A;MRPL2;MRPL40;EEF2K;MRPL1;RPLP2;MRPS28;EIF5A;TSFM;MRPS26;MRPS21;RPL13A;MRPL47;MRPS7;MRPL46;MRPS5;MRPL52;MRPL53;MRPL51;RPL37A;MRPS33;MRPS34;RPL11;MRPS31;MRPL58;MRPS30;MRPL54;MRPL55;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;GADD45GIP1;NDUFA7;RPL35A;RPL23A;TNIP1;RPS6KB2;RPL22L1;FAU;ABCE1,GO_Biological_Process_2023
GO_Biological_Process_2023,Macromolecule Biosynthetic Process (GO:0009059),104/183,8.292871500137219e-22,2.067827508559215e-18,0,0,4.27587067714057,207.557072808069,RPL30;RPL32;RPL31;RPL34;RPL10A;RPL8;EEF1B2;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;LARGE1;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS8;RPL22;RPS6;MRPS18A;MRPS18C;EEF1A2;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;EIF5A2;MRPL14;MRPL12;MRPL13;GSPT1;MRPL11;FUT9;EIF4EBP2;APOE;RPL41;MRPL27;MRPL28;INHBA;EEF2;MRPL23;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;AGO2;RPS20;RPS21;EIF4G2;RPS24;RPS23;HBS1L;MRPS15;MRPS16;MRPS14;MRPS11;RPLP1;MRPS12;MRPL34;MRPL41;RPL7A;EEF2K;RPLP2;EIF5A;TSFM;MRPS21;RPL13A;MRPS7;MRPS5;MRPL52;MRPL51;RPL37A;MRPS33;RPL11;MRPL55;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;GOLPH3;TNIP1;RPS6KB2;FAU,GO_Biological_Process_2023
GO_Biological_Process_2023,Peptide Biosynthetic Process (GO:0043043),93/158,4.1502973308968156e-21,6.8991775963941415e-18,0,0,4.640514575245114,217.78448595080124,HBS1L;PCSK1;RPL30;MRPS15;MRPS16;RPL32;RPL31;MRPS14;RPL34;MRPS11;RPLP1;MRPS12;RPL10A;RPL8;MRPL34;RPS15;MRPL41;RPS14;RPL7A;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS8;RPL22;RPS6;MRPS18A;MRPS21;RPL13A;MRPS7;MRPS5;MRPS18C;MRPL52;MRPL51;EEF1A2;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;MRPL18;MRPS33;RPL11;MRPL14;MRPL12;MRPL13;GSPT1;MRPL11;MRPL55;RPL14;RPS3;EIF4EBP2;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;MRPL27;MRPL28;RPL35A;RPL23A;MRPL23;RPS26;RPS25;RPS28;RPS27;TNIP1;RPS29;RPL27A;AGO2;RPS6KB2;RPS20;FAU;RPS21;RPS24;RPS23,GO_Biological_Process_2023
GO_Biological_Process_2023,Cytoplasmic Translation (GO:0002181),64/93,4.972741993890792e-20,6.199766080883343e-17,0,0,7.1305507713730805,316.93679873783964,RPL30;RPL32;RPL31;RPL34;RPLP1;MRPS12;RPL10A;RPL8;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS9;RPL21;RPS8;RPL22;RPS6;RPL13A;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL11;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL41;RPL35A;RPL23A;RPS26;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;RPS20;FAU;RPS21;RPS24;RPS23,GO_Biological_Process_2023
GO_Biological_Process_2023,Gene Expression (GO:0010467),141/296,2.413238894148232e-19,2.4069644730234473e-16,0,0,2.9633311958067305,127.03251725872823,RPL30;RPL32;RPL31;RPL34;FMR1;RPL8;RPL10A;RPS15;RPS14;RPS17;RPS16;RPL18A;RPS19;RPL36AL;RPS18;RPL36;RPL35;RPL38;KPNA4;RPL37;RPS11;RPL39;RPS10;RPS13;AGFG1;NUP214;RPS9;RPL21;RPS8;RPL22;RPS6;THOC1;MRPS18A;MRPS18C;HNRNPUL1;SARNP;EEF1A2;RPL24;SRSF3;RPL27;RPL26;RPL29;RPL28;RBM8A;MRPL18;MRPL14;MRPL12;MRPL13;GSPT1;NUP160;MRPL11;ATXN1;EIF4EBP2;NUP88;RPL41;ALYREF;MRPL27;MRPL28;MRPL23;RPS26;SETX;RPS25;RPS28;RPS27;RPS29;RPL27A;AGO2;RPS20;RPS21;RPS24;RPS23;HBS1L;MRPS15;SMG1;MRPS16;FASTKD2;MRPS14;MRPS11;RPLP1;CELF2;MRPS12;ELAVL4;ADAR;MRPL34;SMG7;NXT2;BICD1;MRPL41;DUSP11;RBM3;SYNCRIP;RPL7A;XPO1;RPLP2;RBM6;UPF2;NCBP2;MRPS21;RPL13A;TFIP11;MRPS7;MRPS5;MRPL52;MRPL51;HNRNPH1;RPL37A;RBMS1;HNRNPH3;FYTTD1;DDX25;MRPS33;RPL11;DDX20;NOL9;MRPL55;HSPD1;EXOSC4;PABPN1;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RAE1;RPL17;RPL19;RBM39;RNGTT;RPL35A;RPL23A;SORL1;GOLPH3;SNRNP40;TNIP1;HNRNPA2B1;RPS6KB2;STUB1;FAU;MBTPS2,GO_Biological_Process_2023
GO_Biological_Process_2023,Mitochondrial ATP Synthesis Coupled Electron Transport (GO:0042775),51/70,6.091320205668418e-18,5.0629023109447326e-15,0,0,8.654559246781643,343.06384512996544,COX7B;NDUFA12;COX4I1;COX6A1;COX6A2;COX7C;COA6;COX8A;NDUFC2;NDUFC1;SDHD;SDHA;COX6B1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;NDUFV3;NDUFV1;NDUFA8;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS,GO_Biological_Process_2023
GO_Biological_Process_2023,Cellular Respiration (GO:0045333),57/85,3.5273162657989157e-17,2.5129608882198846e-14,0,0,6.5681163594470044,248.82264013684613,COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;ETFB;COX6A1;COX7C;COX8A;NDUFC2;NDUFC1;SDHA;COX6B1;SIRT3;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;MTLN;UQCRH;BLOC1S1;NDUFV3;NDUFV1;PPARGC1A;NDUFA8;NDUFA7;SURF1;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;NR4A3;UQCRQ;NDUFAB1;CYCS,GO_Biological_Process_2023
GO_Biological_Process_2023,Aerobic Electron Transport Chain (GO:0019646),49/68,5.765387406752385e-17,3.5939983746842695e-14,0,0,8.31164139161463,310.78951188550207,COX7B;COX4I1;COX6A1;COX6A2;COX7C;COX8A;NDUFC2;NDUFC1;SDHD;SDHA;COX6B1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;NDUFV3;NDUFV1;NDUFA8;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS,GO_Biological_Process_2023
GO_Biological_Process_2023,"Mitochondrial Electron Transport, NADH To Ubiquinone (GO:0006120)",28/34,9.809550626986345e-13,5.435580997420101e-10,0,0,14.98628981227589,414.37465604600834,NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;NDUFV3;NDUFV1;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS4;NDUFS3,GO_Biological_Process_2023
GO_Biological_Process_2023,NADH Dehydrogenase Complex Assembly (GO:0010257),37/53,1.854106494323144e-12,8.405844624717743e-10,0,0,7.435479184277261,200.8591958934405,NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;DMAC1;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;TMEM186;NDUFA8;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;BCS1L;LYRM2;NDUFAF8;NDUFS8;NDUFS7;NDUFS5;NDUFAF4;NDUFS4;NDUFAB1;NDUFAF5;NDUFS3;TMEM126A;NDUFAF2;NDUFAF3,GO_Biological_Process_2023
